decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit,name,rp_realised,played,rebuy_price,value_realised,value_ex_ante,surplus_realised,surplus_ex_ante,right_call_realised,right_call_ex_ante
2023,22201,2022,2,2,0,0.6243358224911391,0.0,70.0,0.0,PIT,SP,1999.0,1,24.0,1,MacKenzie Gore,3.660727662143298,1,7.0,0.0,0.0,2.0,2.0,1,1
2023,6655,2022,25,2,0,7.778045100373376,0.0,60.0,22.0,PIT,SP,1988.0,1,35.0,1,Craig Kimbrel,11.345283185602412,1,6.0,44.12078212565386,20.856766397871514,-19.12078212565386,4.143233602128486,0,1
2023,11477,2022,27,2,0,9.361874358099604,671.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,32.0,0,Christian Yelich,10.571354728041847,1,24.0,39.073548557639484,31.185829914667607,-12.073548557639484,-4.1858299146676075,0,0
2023,13543,2022,21,2,0,7.795289956041983,0.0,128.0,0.0,PIT,UNKNOWN,1992.0,1,31.0,1,Blake Snell,16.44070956735203,1,24.0,77.35099459047993,20.969230041708183,-56.35099459047993,0.030769958291816835,0,1
2023,5361,2022,39,2,0,14.86529323010762,708.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,34.0,0,Freddie Freeman,15.148650340227956,1,33.0,68.92473162095604,67.07679657739551,-29.924731620956038,-28.076796577395513,0,0
2023,13050,2022,12,2,0,-1.9682471951175105,0.0,19.0,0.0,PIT,SP,1990.0,1,33.0,1,Anthony DeSclafani,1.8923357379743053,1,1.0,0.0,0.0,12.0,12.0,1,1
2023,12546,2022,23,2,0,9.903079610795102,632.0,0.0,0.0,HIT,CI,1990.0,1,33.0,0,C.J. Cron,3.453325094547354,1,24.0,0.0,34.715341320929156,23.0,-11.715341320929156,1,0
2023,16137,2022,26,2,1,15.587231619091211,0.0,178.0,0.0,PIT,UNKNOWN,1992.0,1,31.0,1,Carlos Rodon,-1.6922901138238533,1,,0.0,71.784972940882,-26.0,45.784972940882,0,1
2023,13074,2022,26,2,1,16.1346210814277,0.0,194.66666666666663,0.0,PIT,SP,1986.0,1,37.0,1,Yu Darvish,4.4561248238960065,1,,0.0,75.35481514282203,-26.0,49.354815142822034,0,1
2023,16149,2022,32,2,0,14.867062060531469,0.0,205.0,0.0,PIT,UNKNOWN,1993.0,1,30.0,1,Aaron Nola,8.9749940723348,1,29.0,28.662760571449535,67.0883321401522,3.3372394285504647,-35.088332140152204,1,0
2023,15653,2022,6,2,0,0.4993065087526305,152.0,0.0,0.0,HIT,CI,1995.0,1,28.0,0,Dominic Smith,4.596213700762083,1,1.0,0.1062098173577064,0.0,5.893790182642293,6.0,1,1
2023,13613,2022,32,2,0,5.874450230488484,558.0,0.0,0.0,HIT,MI,1993.0,1,30.0,0,Ketel Marte,9.403117119673357,1,20.0,31.454797735425608,8.442327009678962,0.5452022645743924,23.557672990321038,1,1
2023,10047,2022,9,2,0,3.6008525118799586,286.0,3.6666666666666674,0.0,HIT,OF,1990.0,1,33.0,0,Wil Myers,0.5811804153485658,1,18.0,0.0,0.0,9.0,9.0,1,1
2023,16219,2022,4,2,0,4.253777654288331,365.0,0.0,0.0,HIT,CI,1993.0,1,30.0,0,J.D. Davis,5.7560529414485435,1,1.0,7.670190043055632,0.0,-3.670190043055632,4.0,0,1
2023,27506,2022,9,2,0,6.814249595685633,582.0,0.0,0.0,HIT,MI,1995.0,1,28.0,0,Ha-seong Kim,9.139441440275657,1,9.0,29.73521664608322,14.571300375218307,-20.73521664608322,-5.571300375218307,0,0
2023,17277,2022,15,2,0,5.462765284060266,0.0,155.33333333333331,0.0,PIT,SP,1995.0,1,28.0,1,Ranger Suarez,2.495629488364755,1,7.0,0.0,5.757492176743395,15.0,9.242507823256606,1,1
2023,14221,2022,18,2,0,2.9158219629282325,306.0,0.0,0.0,HIT,UTIL,1992.0,1,31.0,0,Jorge Soler,8.101409121782858,1,6.0,22.96560957013377,0.0,-4.965609570133768,18.0,0,1
2023,2967,2022,15,2,0,7.704264161691419,622.0,0.0,0.0,HIT,OF,1988.0,1,35.0,0,Tommy Pham,7.074376320969907,1,2.0,16.26773668915201,20.37559836902171,-1.2677366891520094,-5.375598369021709,0,0
2023,30115,2022,16,2,0,5.408890557962114,0.0,47.66666666666668,1.0,PIT,SP,1991.0,1,32.0,1,Robert Suarez,2.591633178880335,1,1.0,0.0,5.406144034193807,16.0,10.593855965806192,1,1
2023,30116,2022,25,2,0,6.420786571298379,446.0,0.0,0.0,HIT,OF,1994.0,1,29.0,0,Seiya Suzuki,8.23339502076462,1,17.0,23.826365694730946,12.005301199119533,1.1736343052690543,12.994698800880467,1,1
2023,15279,2022,1,2,0,4.467302113248987,469.0,0.0,0.0,HIT,CI,1990.0,1,33.0,0,Garrett Cooper,4.798543293085517,1,3.0,1.4257177126951592,0.0,-0.42571771269515923,1.0,0,1
