rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
29,19608,9.281838290664913,Otto Lopez,666.0,12.0,93.0,71.0,28.0,0.0,0.0,0.0,0.0,0.3092105263157895,,,HIT,20.005954617545452,,All-Stars,10.0,2,10.005954617545452
30,31505,9.274077089407227,Sal Stewart,682.0,32.0,87.0,114.0,16.0,0.0,0.0,0.0,0.0,0.2560777957860616,,,HIT,19.972296245961125,14.0,McBlocks,14.0,2,5.972296245961125
31,25764,9.235274591949207,Bobby Witt Jr.,616.0,19.0,85.0,63.0,42.0,0.0,0.0,0.0,0.0,0.2857142857142857,,,HIT,19.804019604951666,,Orange and Black Attack,39.0,F,-19.195980395048334
32,14212,9.04943595268955,Josh Hader,0.0,0.0,0.0,0.0,0.0,43.0,6.0,25.0,62.0,,1.6744186046511629,0.8604651162790697,PIT,18.998084316425015,15.0,Orange and Black Attack,15.0,2,3.9980843164250146
33,19709,9.031921993258736,Fernando Tatis Jr.,698.0,18.0,91.0,76.0,33.0,0.0,0.0,0.0,0.0,0.2777777777777778,,,HIT,18.922130693414495,,Orange and Black Attack,34.0,F,-15.077869306585505
34,19251,8.975038494908771,Pete Alonso,696.0,35.0,96.0,105.0,6.0,0.0,0.0,0.0,0.0,0.25796178343949044,,,HIT,18.67544131365085,,Pookie 2.0,27.0,1,-8.32455868634915
35,12768,8.949129735314296,Sonny Gray,0.0,0.0,0.0,0.0,0.0,171.2,17.0,0.0,155.0,,3.101635514018692,1.1799065420560748,PIT,18.56308156046752,,Pookie 2.0,7.0,1,11.56308156046752
36,19959,8.923881918876631,Jesús Luzardo,0.0,0.0,0.0,0.0,0.0,191.2,13.0,0.0,231.0,,3.389121338912134,1.1506276150627617,PIT,18.45358815098917,,All-Stars,10.0,1,8.45358815098917
37,29576,8.92282907659033,Ben Rice,653.0,41.0,96.0,100.0,3.0,0.0,0.0,0.0,0.0,0.2534013605442177,,,HIT,18.44902223964176,,Lisbon Long Balls,10.0,1,8.44902223964176
38,22250,8.918508339507314,Logan Gilbert,0.0,0.0,0.0,0.0,0.0,184.1,11.0,0.0,194.0,,3.470939706681152,1.0211841390548615,PIT,18.430284293101032,,New York Polar Bears,12.0,F,6.430284293101032
39,16478,8.888113891762098,Kyle Schwarber,691.0,46.0,94.0,96.0,4.0,0.0,0.0,0.0,0.0,0.24552845528455283,,,HIT,18.298471242215943,,McBlocks,20.0,1,-1.7015287577840574
40,10233,8.856425979911617,Aroldis Chapman,0.0,0.0,0.0,0.0,0.0,55.2,4.0,35.0,72.0,,2.282608695652174,1.2318840579710144,PIT,18.161048763867175,,Lisbon Long Balls,2.0,1,16.161048763867175
41,22186,8.819999882950095,Brice Turang,675.0,20.0,95.0,95.0,22.0,0.0,0.0,0.0,0.0,0.26721311475409837,,,HIT,18.00307797220869,,McBlocks,9.0,F,9.00307797220869
42,24262,8.791109578133465,Ceddanne Rafaela,651.0,21.0,84.0,86.0,22.0,0.0,0.0,0.0,0.0,0.28187919463087246,,,HIT,17.877788009686522,,McBlocks,1.0,1,16.877788009686522
43,16578,8.770110175902747,Yandy Díaz,680.0,22.0,89.0,90.0,4.0,0.0,0.0,0.0,0.0,0.3008130081300813,,,HIT,17.786718900683557,13.0,New York Polar Bears,13.0,2,4.786718900683557
44,29715,8.76269027390472,Hunter Goodman,607.0,43.0,88.0,92.0,6.0,0.0,0.0,0.0,0.0,0.25316455696202533,,,HIT,17.754540657873328,,McBlocks,10.0,1,7.754540657873328
45,21622,8.75075300815858,Jake McCarthy,545.0,16.0,76.0,84.0,27.0,0.0,0.0,0.0,0.0,0.29838709677419356,,,HIT,17.702771748287773,,Pookie 2.0,10.0,2,7.702771748287773
46,25931,8.65882347620912,Michael Harris II,620.0,26.0,79.0,89.0,10.0,0.0,0.0,0.0,0.0,0.2912280701754386,,,HIT,17.30409656345558,18.0,New York Polar Bears,18.0,2,-0.6959034365444197
47,17722,8.65438279232609,Trevor Megill,0.0,0.0,0.0,0.0,0.0,62.1,4.0,26.0,74.0,,2.608695652173913,0.9178743961352657,PIT,17.284838437907613,1.0,McBlocks,1.0,2,16.284838437907613
48,27615,8.598038849226565,Alec Burleson,667.0,25.0,83.0,104.0,4.0,0.0,0.0,0.0,0.0,0.2833607907742998,,,HIT,17.040488973127058,,Producers,7.0,1,10.040488973127058
49,24816,8.578981992407348,Andy Pages,675.0,25.0,86.0,99.0,14.0,0.0,0.0,0.0,0.0,0.26753670473083196,,,HIT,16.95784419343973,,New York Polar Bears,10.0,1,6.95784419343973
50,11579,8.498733362726178,Bryce Harper,681.0,32.0,95.0,94.0,10.0,0.0,0.0,0.0,0.0,0.2540983606557377,,,HIT,16.609826134474087,,Pookie 2.0,16.0,F,0.609826134474087
51,20348,8.462518860360124,Riley O'Brien,0.0,0.0,0.0,0.0,0.0,65.2,4.0,38.0,67.0,,3.312883435582822,1.1809815950920244,PIT,16.452772975187578,,Pookie 2.0,10.0,2,6.452772975187578
52,19290,8.454345568641683,Randy Arozarena,645.0,20.0,97.0,69.0,27.0,0.0,0.0,0.0,0.0,0.2694300518134715,,,HIT,16.417327471251717,,New York Polar Bears,11.0,1,5.417327471251717
53,20178,8.323355205540715,Miguel Vargas,692.0,32.0,105.0,89.0,15.0,0.0,0.0,0.0,0.0,0.23671497584541062,,,HIT,15.849255317362955,,All-Stars,10.0,2,5.849255317362955
54,5361,8.298201755839195,Freddie Freeman,676.0,21.0,80.0,79.0,7.0,0.0,0.0,0.0,0.0,0.3016393442622951,,,HIT,15.740171152609086,26.0,NPB No Stars,26.0,2,-10.259828847390914
55,29490,8.281388212792812,Jackson Merrill,661.0,25.0,83.0,85.0,27.0,0.0,0.0,0.0,0.0,0.25165562913907286,,,HIT,15.667255058732033,,McBlocks,10.0,F,5.667255058732033
56,11609,8.262511115565541,Willson Contreras,620.0,30.0,79.0,95.0,4.0,0.0,0.0,0.0,0.0,0.27617328519855594,,,HIT,15.58538985103887,1.0,Spehr's Army,11.0,2,4.585389851038871
57,12730,8.222452129590934,Nick Martinez,0.0,0.0,0.0,0.0,0.0,186.0,15.0,0.0,111.0,,3.096774193548387,1.1344086021505377,PIT,15.411664136364319,,Producers,10.0,2,5.411664136364319
58,27464,8.180605565742225,Dillon Dingler,618.0,32.0,83.0,103.0,0.0,0.0,0.0,0.0,0.0,0.26512455516014233,,,HIT,15.230186147483135,,NPB No Stars,10.0,2,5.230186147483135
59,31807,8.152299873622177,Troy Melton,0.0,0.0,0.0,0.0,0.0,119.0,9.0,0.0,104.0,,2.3445378151260505,1.0252100840336134,PIT,15.10743150271928,,NPB No Stars,10.0,2,5.10743150271928
60,33572,8.069657939354492,Kevin McGonigle,683.0,17.0,101.0,67.0,14.0,0.0,0.0,0.0,0.0,0.2838499184339315,,,HIT,14.749034285629426,13.0,Pookie 2.0,13.0,2,1.7490342856294259
61,33677,8.04470720285244,Paul Skenes,0.0,0.0,0.0,0.0,0.0,177.2,12.0,0.0,216.0,,3.6568848758465013,1.1060948081264108,PIT,14.640829236873994,,McBlocks,15.0,1,-0.3591707631260057
62,16252,7.999276955423402,Trea Turner,688.0,22.0,105.0,65.0,23.0,0.0,0.0,0.0,0.0,0.25477707006369427,,,HIT,14.443809716523324,32.0,Lisbon Long Balls,32.0,2,-17.556190283476674
63,20373,7.997920363649071,Andrés Muñoz,0.0,0.0,0.0,0.0,0.0,58.2,7.0,28.0,88.0,,3.556701030927835,1.1512027491408934,PIT,14.437926520286991,,NPB No Stars,13.0,2,1.4379265202869913
64,15194,7.951736591521875,Jake Bauers,543.0,27.0,86.0,85.0,11.0,0.0,0.0,0.0,0.0,0.26434426229508196,,,HIT,14.237639153446262,,Pookie 2.0,10.0,2,4.237639153446262
65,20391,7.875793312395865,Luis García Jr.,516.0,29.0,66.0,96.0,6.0,0.0,0.0,0.0,0.0,0.2769556025369979,,,HIT,13.90829231353229,,Orange and Black Attack,8.0,2,5.908292313532289
66,25878,7.868371033848566,Corbin Carroll,670.0,23.0,99.0,77.0,23.0,0.0,0.0,0.0,0.0,0.24378109452736318,,,HIT,13.87610376422751,36.0,The Fighting Phils,36.0,2,-22.12389623577249
67,23697,7.849815303489702,Julio Rodríguez,646.0,25.0,78.0,75.0,22.0,0.0,0.0,0.0,0.0,0.2606473594548552,,,HIT,13.795632243556835,43.0,Orange and Black Attack,43.0,2,-29.204367756443165
68,29878,7.841924474538547,Sean Burke,0.0,0.0,0.0,0.0,0.0,184.2,9.0,0.0,202.0,,3.273615635179153,1.1292073832790446,PIT,13.761411709372991,,Orange and Black Attack,10.0,2,3.7614117093729913
