rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
277,26365,4.273574540001309,Jonny DeLuca,310.0,10.0,41.0,43.0,16.0,0.0,0.0,0.0,0.0,0.26148409893992935,,,HIT,0.0,,,,,
278,31370,4.259727191822087,Jakob Marsee,588.0,9.0,74.0,41.0,26.0,0.0,0.0,0.0,0.0,0.21062618595825428,,,HIT,0.0,8.0,,,,
279,27684,4.247405330876042,Michael Massey,456.0,12.0,53.0,53.0,3.0,0.0,0.0,0.0,0.0,0.2565947242206235,,,HIT,0.0,,,,,
280,22515,4.2426556409188905,Heliot Ramos,470.0,14.0,53.0,51.0,4.0,0.0,0.0,0.0,0.0,0.2505854800936768,,,HIT,0.0,,,,,
281,19918,4.233230342607237,Daulton Varsho,543.0,13.0,59.0,45.0,13.0,0.0,0.0,0.0,0.0,0.23481781376518218,,,HIT,0.0,4.0,NPB No Stars,4.0,2,-4.0
282,19444,4.228744290682204,Yohan Ramírez,0.0,0.0,0.0,0.0,0.0,82.1,7.0,1.0,96.0,,2.959805115712546,1.2789281364190013,PIT,0.0,,,,,
283,33390,4.223659002990337,Bryce Eldridge,477.0,18.0,55.0,49.0,1.0,0.0,0.0,0.0,0.0,0.24537037037037038,,,HIT,0.0,,Lisbon Long Balls,10.0,2,-10.0
284,31448,4.221032421984339,Henry Bolte,424.0,8.0,43.0,39.0,20.0,0.0,0.0,0.0,0.0,0.2558746736292428,,,HIT,0.0,,,,,
285,19566,4.211616377797243,Nathaniel Lowe,397.0,16.0,38.0,57.0,0.0,0.0,0.0,0.0,0.0,0.26536312849162014,,,HIT,0.0,,,,,
286,12533,4.208364119349143,Marcus Semien,536.0,18.0,58.0,57.0,10.0,0.0,0.0,0.0,0.0,0.21560574948665298,,,HIT,0.0,5.0,,,,
287,27531,4.19186875227978,David Hamilton,411.0,6.0,53.0,27.0,31.0,0.0,0.0,0.0,0.0,0.23450134770889489,,,HIT,0.0,,,,,
288,26288,4.182059909393823,Adley Rutschman,435.0,12.0,46.0,66.0,0.0,0.0,0.0,0.0,0.0,0.25384615384615383,,,HIT,0.0,,Producers,14.0,1,-14.0
289,6107,4.180937844620216,Huascar Brazobán,0.0,0.0,0.0,0.0,0.0,72.2,6.0,0.0,68.0,,2.9916897506925206,1.080332409972299,PIT,0.0,,,,,
290,13649,4.18054379078883,Clay Holmes,0.0,0.0,0.0,0.0,0.0,94.2,7.0,0.0,77.0,,3.057324840764331,1.1889596602972399,PIT,0.0,,The Fighting Phils,10.0,2,-10.0
291,7304,4.1728495201535285,Salvador Perez,616.0,22.0,54.0,70.0,0.0,0.0,0.0,0.0,0.0,0.2202486678507993,,,HIT,0.0,,All-Stars,4.0,F,-4.0
292,19901,4.150270178429118,Gavin Sheets,504.0,20.0,56.0,59.0,5.0,0.0,0.0,0.0,0.0,0.21663019693654267,,,HIT,0.0,,,,,
293,17998,4.126078385786253,Pete Fairbanks,0.0,0.0,0.0,0.0,0.0,53.1,4.0,25.0,69.0,,5.423728813559322,1.28060263653484,PIT,0.0,,,,,
294,14107,4.120140634574915,Kevin Gausman,0.0,0.0,0.0,0.0,0.0,180.1,10.0,0.0,177.0,,4.047751249305941,1.238200999444753,PIT,0.0,,Pookie 2.0,5.0,1,-5.0
295,23789,4.110411165451959,Blaze Alexander,317.0,6.0,39.0,37.0,11.0,0.0,0.0,0.0,0.0,0.29965156794425085,,,HIT,0.0,,,,,
296,29928,4.109505158457047,Dylan Dodd,0.0,0.0,0.0,0.0,0.0,51.1,4.0,1.0,52.0,,2.4657534246575343,0.9393346379647749,PIT,0.0,,,,,
297,22200,4.109232863045085,Ryan Rolison,0.0,0.0,0.0,0.0,0.0,62.1,8.0,1.0,59.0,,2.753623188405797,1.2399355877616747,PIT,0.0,,,,,
298,26143,4.0985254668753175,Troy Johnston,432.0,4.0,44.0,52.0,6.0,0.0,0.0,0.0,0.0,0.28061224489795916,,,HIT,0.0,,,,,
299,28253,4.091894140475949,Javier Sanoja,448.0,6.0,42.0,57.0,9.0,3.1,0.0,0.0,1.0,0.2707317073170732,5.806451612903226,1.6129032258064515,TWO,0.0,,,,,
300,9218,4.091618444974536,Paul Goldschmidt,386.0,18.0,44.0,52.0,1.0,0.0,0.0,0.0,0.0,0.24857142857142858,,,HIT,0.0,,Lisbon Long Balls,2.0,2,-2.0
301,26540,4.0646476404699925,Angel Martínez,368.0,14.0,41.0,51.0,11.0,0.0,0.0,0.0,0.0,0.23809523809523808,,,HIT,0.0,,,,,
302,29107,4.043266709449548,Bradgley Rodriguez,0.0,0.0,0.0,0.0,0.0,68.0,4.0,0.0,69.0,,2.514705882352941,1.1029411764705883,PIT,0.0,,,,,
303,31621,4.03921191597213,Spencer Miles,0.0,0.0,0.0,0.0,0.0,94.0,5.0,1.0,90.0,,3.25531914893617,1.1382978723404256,PIT,0.0,,,,,
304,22542,4.024494273684217,Lawrence Butler,511.0,13.0,64.0,51.0,13.0,0.0,0.0,0.0,0.0,0.21382289416846653,,,HIT,0.0,9.0,,,,
305,30249,4.023325211407268,Jack Dreyer,0.0,0.0,0.0,0.0,0.0,64.2,6.0,1.0,72.0,,3.364485981308411,1.043613707165109,PIT,0.0,,,,,
306,26031,4.021293044747614,Vaughn Grissom,431.0,10.0,45.0,63.0,2.0,0.0,0.0,0.0,0.0,0.2531969309462916,,,HIT,0.0,,,,,
307,19610,4.021012628896928,Keibert Ruiz,363.0,9.0,47.0,50.0,3.0,0.0,0.0,0.0,0.0,0.2702702702702703,,,HIT,0.0,,,,,
308,24586,4.015290139428869,Kyle Bradish,0.0,0.0,0.0,0.0,0.0,169.0,10.0,0.0,163.0,,3.727810650887574,1.3136094674556213,PIT,0.0,,McBlocks,10.0,1,-10.0
309,33541,4.011683135373008,Dylan Crews,429.0,14.0,58.0,41.0,13.0,0.0,0.0,0.0,0.0,0.2236503856041131,,,HIT,0.0,,,,,
310,14374,4.0078589769368165,Tyler Glasnow,0.0,0.0,0.0,0.0,0.0,63.2,4.0,0.0,77.0,,3.132911392405063,0.9651898734177214,PIT,0.0,23.0,McBlocks,23.0,2,-23.0
311,29695,4.0061991815661155,Matt McLain,500.0,15.0,60.0,45.0,18.0,0.0,0.0,0.0,0.0,0.20666666666666667,,,HIT,0.0,1.0,,,,
312,23796,4.0054545164473625,Ryan Weathers,0.0,0.0,0.0,0.0,0.0,156.2,7.0,0.0,165.0,,3.860435339308579,1.2163892445582587,PIT,0.0,,Pookie 2.0,10.0,2,-10.0
313,22051,4.000957137330672,John King,0.0,0.0,0.0,0.0,0.0,62.0,7.0,1.0,43.0,,3.338709677419355,0.9838709677419355,PIT,0.0,,,,,
314,15362,3.9919823947748263,Jeff McNeil,498.0,7.0,46.0,51.0,8.0,0.0,0.0,0.0,0.0,0.25942350332594233,,,HIT,0.0,,,,,
315,21924,3.9794639592298933,Juan Morillo,0.0,0.0,0.0,0.0,0.0,63.1,4.0,2.0,72.0,,2.709984152139461,1.1251980982567353,PIT,0.0,,,,,
316,31357,3.9708479241576886,Nathan Church,436.0,11.0,51.0,48.0,10.0,0.0,0.0,0.0,0.0,0.23929471032745592,,,HIT,0.0,,,,,
317,20253,3.959240839336713,Griffin Jax,0.0,0.0,0.0,0.0,0.0,107.2,7.0,0.0,118.0,,3.6100746268656714,1.203358208955224,PIT,0.0,,Lisbon Long Balls,10.0,2,-10.0
318,30134,3.939165896438898,Tanner Bibee,0.0,0.0,0.0,0.0,0.0,187.1,7.0,0.0,153.0,,3.992517370390166,1.1544628540887227,PIT,0.0,6.0,NPB No Stars,6.0,2,-6.0
319,22458,3.9288849602886544,Taylor Walls,485.0,4.0,65.0,41.0,25.0,0.0,0.0,0.0,0.0,0.2160919540229885,,,HIT,0.0,,,,,
320,27819,3.898688136258223,Brandon Young,0.0,0.0,0.0,0.0,0.0,143.2,11.0,0.0,118.0,,3.582402234636872,1.3268156424581006,PIT,0.0,,,,,
321,18900,3.870736276413382,Leody Taveras,451.0,8.0,55.0,52.0,13.0,0.0,0.0,0.0,0.0,0.2273838630806846,,,HIT,0.0,,,,,
322,20023,3.851512483219957,Rico Garcia,0.0,0.0,0.0,0.0,0.0,65.2,5.0,6.0,70.0,,3.8650306748466257,1.058282208588957,PIT,0.0,,,,,
323,22715,3.8334498454578174,Maikel Garcia,422.0,5.0,48.0,44.0,9.0,0.0,0.0,0.0,0.0,0.26370757180156656,,,HIT,0.0,,Orange and Black Attack,4.0,F,-4.0
324,15541,3.830469440344928,Tyler Rogers,0.0,0.0,0.0,0.0,0.0,72.0,2.0,5.0,40.0,,2.125,1.1944444444444444,PIT,0.0,,,,,
325,17611,3.8227217416189667,Taylor Clarke,0.0,0.0,0.0,0.0,0.0,69.1,3.0,0.0,39.0,,2.604920405209841,0.955137481910275,PIT,0.0,,,,,
326,29357,3.820938492717099,Walbert Ureña,0.0,0.0,0.0,0.0,0.0,135.2,9.0,0.0,126.0,,3.394970414201184,1.3461538461538463,PIT,0.0,,Lisbon Long Balls,10.0,2,-10.0
327,24763,3.820259340481118,Kyle Leahy,0.0,0.0,0.0,0.0,0.0,159.1,10.0,0.0,140.0,,3.6203645505971087,1.3262099308610937,PIT,0.0,,,,,
328,21626,3.8115842285174173,Griffin Conine,310.0,17.0,39.0,44.0,3.0,0.0,0.0,0.0,0.0,0.25089605734767023,,,HIT,0.0,,Spehr's Army,10.0,2,-10.0
329,13620,3.7453042975362294,Carson Kelly,418.0,10.0,53.0,56.0,0.0,1.0,0.0,0.0,0.0,0.25925925925925924,18.0,2.0,TWO,0.0,,,,,
330,10061,3.743448752838796,Brooks Raley,0.0,0.0,0.0,0.0,0.0,59.1,6.0,0.0,58.0,,2.7411167512690353,1.1505922165820643,PIT,0.0,,,,,
331,25477,3.728285617912452,Isaac Collins,531.0,8.0,56.0,48.0,10.0,0.0,0.0,0.0,0.0,0.23529411764705882,,,HIT,0.0,,,,,
332,27782,3.7218587863868393,Brandon Pfaadt,0.0,0.0,0.0,0.0,0.0,130.2,9.0,0.0,93.0,,3.663594470046083,1.2211981566820278,PIT,0.0,,,,,
333,16939,3.6891914150575564,Lane Thomas,432.0,13.0,44.0,49.0,10.0,0.0,0.0,0.0,0.0,0.2282051282051282,,,HIT,0.0,,,,,
334,29770,3.6852483641082148,Mason Montgomery,0.0,0.0,0.0,0.0,0.0,63.0,5.0,5.0,95.0,,3.7142857142857144,1.2063492063492063,PIT,0.0,,,,,
335,19913,3.674055044327873,Jesús Sánchez,373.0,12.0,36.0,47.0,3.0,0.0,0.0,0.0,0.0,0.26253687315634217,,,HIT,0.0,,,,,
336,26121,3.673926146388893,Francisco Alvarez,410.0,18.0,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.25135135135135134,,,HIT,0.0,,,,,
337,13892,3.671114484930416,Paul Sewald,0.0,0.0,0.0,0.0,0.0,49.0,3.0,24.0,55.0,,5.877551020408164,1.1428571428571428,PIT,0.0,,,,,
338,19716,3.6649176874596052,Dustin May,0.0,0.0,0.0,0.0,0.0,159.0,9.0,0.0,154.0,,4.0754716981132075,1.2264150943396226,PIT,0.0,,,,,
339,33666,3.659539347109405,Connelly Early,0.0,0.0,0.0,0.0,0.0,103.2,8.0,0.0,105.0,,3.575581395348837,1.2596899224806202,PIT,0.0,,The Fighting Phils,10.0,2,-10.0
340,24589,3.657825087912207,Richie Palacios,391.0,7.0,48.0,45.0,14.0,0.0,0.0,0.0,0.0,0.2336182336182336,,,HIT,0.0,,,,,
341,21537,3.6444454005953304,Daniel Lynch IV,0.0,0.0,0.0,0.0,0.0,72.2,5.0,1.0,57.0,,2.9916897506925206,1.1218836565096952,PIT,0.0,,,,,
342,15653,3.632637682333098,Dominic Smith,327.0,9.0,44.0,51.0,0.0,0.0,0.0,0.0,0.0,0.2635135135135135,,,HIT,0.0,,,,,
343,7048,3.6107588801291466,Fernando Cruz,0.0,0.0,0.0,0.0,0.0,67.0,6.0,3.0,85.0,,3.08955223880597,1.328358208955224,PIT,0.0,,,,,
344,27676,3.600199498045168,Vinnie Pasquantino,471.0,11.0,48.0,51.0,5.0,0.0,0.0,0.0,0.0,0.23708920187793428,,,HIT,0.0,,,,,
345,15488,3.59150884487544,Antonio Senzatela,0.0,0.0,0.0,0.0,0.0,70.2,10.0,3.0,59.0,,3.7179487179487176,1.2962962962962963,PIT,0.0,,,,,
346,33568,3.5709130391076793,Brandyn Garcia,0.0,0.0,0.0,0.0,0.0,49.0,1.0,6.0,51.0,,2.7551020408163267,0.9795918367346939,PIT,0.0,,,,,
347,24064,3.567108162000448,Ezequiel Tovar,562.0,13.0,59.0,54.0,7.0,0.0,0.0,0.0,0.0,0.21595330739299612,,,HIT,0.0,1.0,,,,
348,31781,3.556293072069746,Jackson Holliday,366.0,10.0,46.0,35.0,10.0,0.0,0.0,0.0,0.0,0.24620060790273557,,,HIT,0.0,,,,,
349,24607,3.5517696450982514,Jonathan Bowlan,0.0,0.0,0.0,0.0,0.0,58.2,3.0,2.0,69.0,,3.092783505154639,1.0309278350515463,PIT,0.0,,,,,
350,11739,3.544104596995621,J.T. Realmuto,463.0,11.0,51.0,53.0,5.0,0.0,0.0,0.0,0.0,0.22857142857142856,,,HIT,0.0,,,,,
351,29780,3.539361632696503,Joe Mack,355.0,15.0,46.0,51.0,1.0,0.0,0.0,0.0,0.0,0.22910216718266255,,,HIT,0.0,,,,,
352,25420,3.5298340932056456,Ryan Zeferjahn,0.0,0.0,0.0,0.0,0.0,71.0,5.0,5.0,99.0,,3.8028169014084505,1.2253521126760563,PIT,0.0,,,,,
353,19455,3.5099891548953432,Andruw Monasterio,337.0,8.0,40.0,40.0,6.0,0.0,0.0,0.0,0.0,0.26557377049180325,,,HIT,0.0,,,,,
354,25493,3.508311221761834,Joey Ortiz,407.0,7.0,44.0,43.0,11.0,0.0,0.0,0.0,0.0,0.24390243902439024,,,HIT,0.0,,,,,
355,16943,3.5025702794351337,Sean Newcomb,0.0,0.0,0.0,0.0,0.0,81.1,2.0,4.0,76.0,,2.8853267570900125,1.1960542540073984,PIT,0.0,,,,,
356,17988,3.4829450444038597,Tyler Stephenson,444.0,14.0,41.0,50.0,0.0,0.0,0.0,0.0,0.0,0.24438902743142144,,,HIT,0.0,,,,,
357,17968,3.4747157460242764,Brock Burke,0.0,0.0,0.0,0.0,0.0,75.0,6.0,3.0,71.0,,3.12,1.2933333333333332,PIT,0.0,,,,,
358,27572,3.4728949370503472,Carmen Mlodzinski,0.0,0.0,0.0,0.0,0.0,139.1,9.0,2.0,112.0,,3.558590941768512,1.344356578001438,PIT,0.0,,,,,
359,29591,3.470489417124767,Colton Cowser,411.0,13.0,46.0,45.0,11.0,0.0,0.0,0.0,0.0,0.21680216802168023,,,HIT,0.0,,,,,
360,19470,3.458754509123195,Tommy Edman,310.0,7.0,40.0,39.0,6.0,0.0,0.0,0.0,0.0,0.2695035460992908,,,HIT,0.0,,,,,
361,27790,3.4534870749761137,Evan Carter,461.0,11.0,54.0,44.0,19.0,0.0,0.0,0.0,0.0,0.19806763285024154,,,HIT,0.0,,,,,
362,13624,3.439364310871998,Corey Seager,408.0,18.0,53.0,47.0,2.0,0.0,0.0,0.0,0.0,0.2103825136612022,,,HIT,0.0,19.0,McBlocks,19.0,2,-19.0
363,27814,3.4271824957235584,Shane Drohan,0.0,0.0,0.0,0.0,0.0,120.0,8.0,1.0,119.0,,3.9,1.25,PIT,0.0,,,,,
364,31837,3.4017989575954557,Masataka Yoshida,374.0,7.0,43.0,37.0,3.0,0.0,0.0,0.0,0.0,0.2713864306784661,,,HIT,0.0,,,,,
365,26197,3.392562587529723,Andrew Vaughn,375.0,9.0,40.0,54.0,0.0,1.0,0.0,0.0,1.0,0.2861356932153392,27.0,5.0,TWO,0.0,1.0,,,,
366,14854,3.388394339737931,Mike Yastrzemski,414.0,12.0,54.0,46.0,2.0,0.0,0.0,0.0,0.0,0.22849462365591397,,,HIT,0.0,,,,,
367,31490,3.362584771823139,Wade Meckler,318.0,4.0,38.0,31.0,6.0,0.0,0.0,0.0,0.0,0.2937062937062937,,,HIT,0.0,,,,,
368,20422,3.361889214492652,Jovani Morán,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,72.0,,2.9076923076923076,1.0923076923076922,PIT,0.0,,,,,
369,20404,3.3580645450604547,Jared Young,336.0,11.0,39.0,39.0,4.0,0.0,0.0,0.0,0.0,0.25496688741721857,,,HIT,0.0,,,,,
370,18123,3.357095314485599,Nathan Lukes,432.0,8.0,45.0,34.0,2.0,0.0,0.0,0.0,0.0,0.26785714285714285,,,HIT,0.0,,,,,
371,21520,3.344951158653127,Hogan Harris,0.0,0.0,0.0,0.0,0.0,69.0,4.0,16.0,88.0,,3.782608695652174,1.5217391304347827,PIT,0.0,,,,,
372,22823,3.3347025661818455,Oswald Peraza,426.0,10.0,39.0,35.0,17.0,0.0,0.0,0.0,0.0,0.22879177377892032,,,HIT,0.0,,,,,
373,31936,3.3071166030804653,Samy Natera Jr.,0.0,0.0,0.0,0.0,0.0,43.0,2.0,5.0,61.0,,2.9302325581395348,1.069767441860465,PIT,0.0,,,,,
374,25880,3.293711703199772,Hunter Brown,0.0,0.0,0.0,0.0,0.0,107.2,6.0,0.0,115.0,,3.6100746268656714,1.25,PIT,0.0,,NPB No Stars,10.0,1,-10.0
375,29519,3.2810948699817084,Gordon Graceffo,0.0,0.0,0.0,0.0,0.0,73.0,8.0,1.0,48.0,,3.5753424657534247,1.178082191780822,PIT,0.0,,,,,
376,22201,3.2794982430678683,MacKenzie Gore,0.0,0.0,0.0,0.0,0.0,177.0,9.0,0.0,197.0,,4.372881355932203,1.2429378531073447,PIT,0.0,,NPB No Stars,1.0,1,-1.0
377,15816,3.271051010370737,Devin Williams,0.0,0.0,0.0,0.0,0.0,46.2,4.0,20.0,61.0,,4.48051948051948,1.58008658008658,PIT,0.0,13.0,Producers,13.0,2,-13.0
378,25961,3.267707105716639,Kerry Carpenter,357.0,18.0,39.0,51.0,0.0,0.0,0.0,0.0,0.0,0.21779141104294478,,,HIT,0.0,,,,,
379,26944,3.246746709599528,Edgardo Henriquez,0.0,0.0,0.0,0.0,0.0,62.2,5.0,1.0,67.0,,3.327974276527331,1.1414790996784565,PIT,0.0,,,,,
380,26123,3.2353080826225527,Brett Baty,464.0,11.0,52.0,48.0,6.0,0.0,0.0,0.0,0.0,0.21852731591448932,,,HIT,0.0,1.0,,,,
381,16947,3.2219988004602738,Derek Hill,218.0,11.0,32.0,27.0,15.0,0.0,0.0,0.0,0.0,0.23737373737373738,,,HIT,0.0,,,,,
382,19876,3.208839780421401,Kevin Ginkel,0.0,0.0,0.0,0.0,0.0,67.0,6.0,3.0,65.0,,3.7611940298507465,1.164179104477612,PIT,0.0,,,,,
383,20827,3.2038351985324636,Michael Petersen,0.0,0.0,0.0,0.0,0.0,65.1,3.0,2.0,78.0,,3.1797235023041477,1.1520737327188941,PIT,0.0,,,,,
384,25332,3.1962724975430086,Endy Rodríguez,262.0,10.0,34.0,32.0,7.0,0.0,0.0,0.0,0.0,0.2616033755274262,,,HIT,0.0,,,,,
385,29993,3.19281408887749,Brady House,343.0,11.0,43.0,42.0,2.0,0.0,0.0,0.0,0.0,0.24126984126984127,,,HIT,0.0,,,,,
386,27462,3.1886538655594414,Austin Martin,396.0,4.0,49.0,28.0,14.0,0.0,0.0,0.0,0.0,0.2443820224719101,,,HIT,0.0,,,,,
387,17948,3.14753936562378,Trent Thornton,0.0,0.0,0.0,0.0,0.0,53.1,6.0,3.0,31.0,,3.2203389830508473,1.1487758945386064,PIT,0.0,,,,,
388,17897,3.143939557876369,Garrett Cleavinger,0.0,0.0,0.0,0.0,0.0,51.2,5.0,3.0,68.0,,3.515625,1.19140625,PIT,0.0,,,,,
389,21741,3.1199914679850114,Javier Assad,0.0,0.0,0.0,0.0,0.0,92.1,7.0,1.0,63.0,,3.713355048859935,1.1726384364820848,PIT,0.0,,,,,
390,29622,3.116306242862798,Sal Frelick,396.0,5.0,43.0,43.0,8.0,0.0,0.0,0.0,0.0,0.24166666666666667,,,HIT,0.0,1.0,,,,
391,30076,3.1146342426069125,Landen Roupp,0.0,0.0,0.0,0.0,0.0,162.2,10.0,0.0,161.0,,4.106041923551172,1.307028360049322,PIT,0.0,,All-Stars,10.0,2,-10.0
392,31382,3.095617291804499,Dalton Rushing,249.0,12.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.25663716814159293,,,HIT,0.0,,,,,
393,23003,3.0939819691623893,Yainer Diaz,332.0,11.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2581699346405229,,,HIT,0.0,2.0,,,,
394,31891,3.093509876041081,Andrew Morris,0.0,0.0,0.0,0.0,0.0,71.1,5.0,4.0,65.0,,3.2911392405063293,1.2798874824191282,PIT,0.0,,,,,
395,21863,3.0899696797892378,George Soriano,0.0,0.0,0.0,0.0,0.0,68.2,7.0,3.0,69.0,,3.826979472140762,1.2463343108504399,PIT,0.0,,,,,
396,25007,3.0897464756399415,Alex Vesia,0.0,0.0,0.0,0.0,0.0,57.2,2.0,3.0,76.0,,2.989510489510489,1.1713286713286712,PIT,0.0,,,,,
397,25310,3.0825988123687718,Peyton Gray,0.0,0.0,0.0,0.0,0.0,62.1,7.0,0.0,65.0,,3.4782608695652173,1.2238325281803542,PIT,0.0,,,,,
398,22054,3.068166052682551,Dane Myers,324.0,6.0,35.0,31.0,11.0,0.0,0.0,0.0,0.0,0.25597269624573377,,,HIT,0.0,,,,,
399,35456,3.0654356051380294,Trey Yesavage,0.0,0.0,0.0,0.0,0.0,98.2,5.0,0.0,97.0,,3.7576374745417516,1.1608961303462322,PIT,0.0,3.0,NPB No Stars,3.0,2,-3.0
400,16930,3.0609232845832612,Jonah Heim,398.0,15.0,37.0,54.0,0.0,0.0,0.0,0.0,0.0,0.22038567493112948,,,HIT,0.0,,,,,
401,22286,3.0597624158364107,Trevor Rogers,0.0,0.0,0.0,0.0,0.0,161.2,10.0,0.0,139.0,,4.187344913151365,1.2531017369727049,PIT,0.0,,New York Polar Bears,10.0,1,-10.0
402,13619,3.0518244128316465,Jakob Junis,0.0,0.0,0.0,0.0,0.0,52.0,2.0,6.0,40.0,,2.9423076923076925,1.1153846153846154,PIT,0.0,,,,,
403,27630,3.04722114646163,Nick Loftin,372.0,7.0,42.0,44.0,3.0,0.0,0.0,0.0,0.0,0.24477611940298508,,,HIT,0.0,,,,,
404,22165,3.032994639945038,Ryan Vilade,254.0,11.0,27.0,43.0,4.0,0.0,0.0,0.0,0.0,0.24890829694323144,,,HIT,0.0,,,,,
405,19753,2.9952365257534743,Jonathan Loáisiga,0.0,0.0,0.0,0.0,0.0,62.1,4.0,2.0,48.0,,3.043478260869565,1.1594202898550725,PIT,0.0,,,,,
406,16162,2.9905377918707337,Brandon Woodruff,0.0,0.0,0.0,0.0,0.0,45.1,2.0,0.0,47.0,,2.9933481152993346,0.8425720620842572,PIT,0.0,,The Fighting Phils,1.0,1,-1.0
407,33826,2.987730987371033,Yuki Matsui,0.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,63.0,,2.85,1.2,PIT,0.0,,,,,
408,19742,2.9861162355081645,Anthony Bender,0.0,0.0,0.0,0.0,0.0,45.1,2.0,2.0,52.0,,2.793791574279379,1.0199556541019956,PIT,0.0,,,,,
409,29794,2.9726430124000784,Kyle Manzardo,398.0,15.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.2188365650969529,,,HIT,0.0,,,,,
410,17170,2.9631316818061184,Gabe Speier,0.0,0.0,0.0,0.0,0.0,46.0,3.0,1.0,44.0,,2.5434782608695654,1.0869565217391304,PIT,0.0,,,,,
411,25756,2.956633466945911,Matt Brash,0.0,0.0,0.0,0.0,0.0,28.2,4.0,0.0,29.0,,1.5957446808510638,1.0283687943262412,PIT,0.0,,,,,
412,16835,2.9385992013985227,Brennan Bernardino,0.0,0.0,0.0,0.0,0.0,64.2,4.0,2.0,51.0,,2.9439252336448596,1.2149532710280373,PIT,0.0,,,,,
413,16944,2.930077624819539,Grant Holmes,0.0,0.0,0.0,0.0,0.0,155.0,9.0,0.0,131.0,,3.774193548387097,1.335483870967742,PIT,0.0,,,,,
414,31776,2.921688166367189,Orion Kerkering,0.0,0.0,0.0,0.0,0.0,62.1,8.0,1.0,69.0,,3.7681159420289854,1.3043478260869565,PIT,0.0,,,,,
415,15112,2.91247519964797,Ryan McMahon,401.0,14.0,41.0,43.0,4.0,0.0,0.0,0.0,0.0,0.2154696132596685,,,HIT,0.0,,,,,
416,15711,2.9046525814516846,Tyler O'Neill,343.0,15.0,42.0,36.0,2.0,0.0,0.0,0.0,0.0,0.22077922077922077,,,HIT,0.0,,,,,
417,29571,2.9016293836947495,Tim Tawa,311.0,9.0,34.0,39.0,8.0,0.0,0.0,0.0,0.0,0.2313167259786477,,,HIT,0.0,,,,,
418,19858,2.8992307707413723,Luis Rengifo,378.0,4.0,42.0,39.0,8.0,0.0,0.0,0.0,0.0,0.24127906976744187,,,HIT,0.0,,,,,
419,10243,2.845003803175784,Randal Grichuk,252.0,11.0,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2565217391304348,,,HIT,0.0,,,,,
420,33530,2.83102780567675,Cooper Pratt,268.0,3.0,33.0,28.0,14.0,0.0,0.0,0.0,0.0,0.25311203319502074,,,HIT,0.0,,McBlocks,10.0,2,-10.0
421,17452,2.829256516112574,Jose Siri,227.0,11.0,35.0,31.0,4.0,0.0,0.0,0.0,0.0,0.24154589371980675,,,HIT,0.0,,,,,
422,21448,2.8290217454105884,Davis Martin,0.0,0.0,0.0,0.0,0.0,167.0,11.0,0.0,144.0,,4.149700598802395,1.311377245508982,PIT,0.0,,,,,
423,35423,2.8245772273833536,Braden Montgomery,373.0,7.0,45.0,43.0,3.0,0.0,0.0,0.0,0.0,0.23076923076923078,,,HIT,0.0,,,,,
424,15491,2.8202113002202602,J.P. Crawford,486.0,13.0,51.0,41.0,2.0,0.0,0.0,0.0,0.0,0.2160919540229885,,,HIT,0.0,,,,,
425,16137,2.814481802303036,Carlos Rodón,0.0,0.0,0.0,0.0,0.0,78.1,6.0,0.0,85.0,,3.572343149807939,1.267605633802817,PIT,0.0,3.0,McBlocks,3.0,2,-3.0
426,19249,2.813715348721828,Seranthony Domínguez,0.0,0.0,0.0,0.0,0.0,56.1,5.0,12.0,69.0,,4.331550802139037,1.4260249554367201,PIT,0.0,,,,,
427,14221,2.811519258014241,Jorge Soler,406.0,14.0,41.0,55.0,0.0,0.0,0.0,0.0,0.0,0.20596205962059622,,,HIT,0.0,,,,,
428,22264,2.8098530424289088,Shane Baz,0.0,0.0,0.0,0.0,0.0,180.1,7.0,0.0,161.0,,3.847862298722932,1.3048306496390893,PIT,0.0,4.0,,,,
429,25999,2.798645554559308,Victor Mesa Jr.,264.0,13.0,31.0,32.0,7.0,0.0,0.0,0.0,0.0,0.225,,,HIT,0.0,,,,,
430,17735,2.7900213557643903,Tyler Alexander,0.0,0.0,0.0,0.0,0.0,70.1,4.0,4.0,61.0,,3.466476462196862,1.2268188302425107,PIT,0.0,,,,,
431,22217,2.7740995760468974,Luis Campusano,232.0,8.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.291866028708134,,,HIT,0.0,,,,,
432,19953,2.76865960779296,Josh Lowe,361.0,12.0,34.0,37.0,9.0,0.0,0.0,0.0,0.0,0.21646341463414634,,,HIT,0.0,,,,,
433,29869,2.7524688162463278,Michael McGreevy,0.0,0.0,0.0,0.0,0.0,167.0,6.0,0.0,114.0,,3.7724550898203595,1.2335329341317365,PIT,0.0,,,,,
