decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,pos_group,birth_year,played_prior,age,is_pit,team,proj_redraft,proj_replace,rel,role,value_realised,true_replace,has_proj,surplus_true,surplus_redraft,truth,owner,model_redraft,model_replace,model_matched_k,model_teamcap
2024,18684,2023,30,2,1,6.340057930092101,0.0,184.66666666666663,0.0,UNKNOWN,1995.0,1,29.0,1,Spehr's Army,14.39963354228288,17.519392939475402,0.8,PIT,0.0,0.0,True,-30.0,-30.0,0,1,0,0,0,0
2024,16149,2023,29,2,0,8.9749940723348,0.0,193.66666666666663,0.0,UNKNOWN,1993.0,1,31.0,1,New York Polar Bears,15.59714322622878,18.530461552433856,0.8,PIT,10.472802419208408,24.339843538068575,True,-4.660156461931425,-18.527197580791594,0,0,0,0,0,0
2024,16162,2023,34,2,1,7.821991650570318,0.0,67.0,0.0,SP,1993.0,1,31.0,1,Moben,8.605546482223911,12.627391107915264,0.69,PIT,0.0,0.0,True,-34.0,-34.0,0,1,0,0,0,0
2024,19238,2023,7,2,0,7.593184429738005,592.0,0.0,0.0,OF,1993.0,1,31.0,0,Spehr's Army,6.165278322795638,25.007054237031518,0.85,HIT,9.117751333715432,21.351828282677698,True,14.351828282677698,2.1177513337154323,1,0,0,1,1,0
2024,13613,2023,20,2,0,9.403117119673356,650.0,0.0,0.0,MI,1993.0,1,31.0,0,New York Polar Bears,11.143895199476637,29.21054697486963,0.85,HIT,22.077831159603605,36.46356455590212,True,16.463564555902117,2.0778311596036048,1,0,0,1,1,0
2024,19251,2023,32,2,1,9.816516921048455,658.0,0.0,0.0,CI,1994.0,1,30.0,0,Producers,24.79555460057321,40.736770537226654,0.87,HIT,12.32078469297007,25.086635170418372,True,-6.913364829581628,-19.679215307029928,0,1,0,1,1,0
2024,13621,2023,1,2,1,7.293301817096172,576.0,0.0,0.0,CI,1993.0,1,31.0,0,Moben,1.4073079314369952,20.98985538796926,0.85,HIT,0.0,7.647598121495607,True,6.647598121495607,-1.0,1,1,1,1,1,1
2024,27475,2023,17,2,0,5.908451132238069,465.0,0.0,0.0,OF,2002.0,1,22.0,0,All-Stars,0.8137287361234166,20.48869092831399,0.66,HIT,0.0,0.0,True,-17.0,-17.0,0,0,0,1,0,0
2024,16252,2023,45,2,0,10.74098777875528,691.0,0.0,0.0,UNKNOWN,1993.0,1,31.0,0,Moben,29.396577687316576,44.62145731084409,0.87,HIT,15.521489092911123,28.81872644070833,True,-16.18127355929167,-29.478510907088875,0,0,0,0,0,0
2024,12161,2023,22,2,0,8.919884065593115,665.0,0.0,0.0,MI,1992.0,1,32.0,0,New York Polar Bears,15.530833782266765,32.91448020188136,0.86,HIT,0.0,10.195865465103482,True,-11.804134534896518,-22.0,0,0,0,1,1,0
2024,14212,2023,23,2,1,12.46522475148478,0.0,56.333333333333336,33.0,UNKNOWN,1994.0,1,30.0,1,Micks,8.121476400958873,12.218686216254913,0.53,PIT,21.908817107482296,37.67448655783657,True,14.674486557836573,-1.091182892517704,1,1,0,0,0,0
2024,18314,2023,23,2,0,7.544871630521282,638.0,0.0,0.0,UNKNOWN,1994.0,1,30.0,0,Block Bombers,14.79443692795691,32.29273345857263,0.87,HIT,6.891572555708207,18.756055182338113,True,-4.2439448176618875,-16.10842744429179,0,0,0,1,1,0
2024,14221,2023,6,2,1,8.101409121782858,580.0,0.0,0.0,UTIL,1992.0,1,32.0,0,Producers,3.8729643103561355,23.07163210216789,0.83,HIT,4.093098710455797,15.492973528126734,True,9.492973528126734,-1.9069012895442032,1,1,0,1,1,0
2024,19352,2023,19,2,0,6.1593901414718175,438.0,0.0,0.0,C,1994.0,1,30.0,0,Pookie 2.0,0.0,19.152450203931433,0.83,HIT,0.0,0.0,True,-19.0,-19.0,0,0,0,1,0,0
2024,17312,2023,13,2,1,13.440530806520362,0.0,173.33333333333331,0.0,SP,1995.0,1,29.0,1,Milwaukee Beers,13.018766882969615,16.353514319344335,0.74,PIT,3.701885214224673,16.444806122854203,True,3.444806122854203,-9.298114785775327,1,1,1,1,0,1
2024,30116,2023,17,2,0,8.23339502076462,583.0,0.0,0.0,OF,1994.0,1,30.0,0,Pookie 2.0,8.488603135110907,26.968659079924524,0.8,HIT,13.21884046425797,26.133787823540235,True,9.133787823540235,-3.781159535742029,1,0,0,1,1,0
2024,13743,2023,30,2,0,7.502511118211235,0.0,77.66666666666667,0.0,SP,1994.0,1,30.0,1,Producers,9.313239941178873,13.22490330638671,0.72,PIT,9.875227304751077,23.643057896742306,True,-6.356942103257694,-20.12477269524892,0,0,0,0,0,0
2024,11737,2023,23,2,0,10.136868548055652,671.0,0.0,0.0,OF,1992.0,1,32.0,0,Moben,18.30143575424407,35.253725329016056,0.86,HIT,9.835201805829136,22.18839121047892,True,-0.8116087895210811,-13.164798194170864,0,0,0,1,1,0
2024,16376,2023,18,2,0,5.0073101004928855,470.0,0.0,0.0,OF,1993.0,1,31.0,0,Moben,0.0,14.043860972888776,0.76,HIT,0.0,10.54340561835937,True,-7.456594381640629,-18.0,0,0,0,0,0,0
2024,8700,2023,30,2,0,11.500377808649688,0.0,162.33333333333331,0.0,SP,1983.0,1,41.0,1,Pookie 2.0,19.219500602817277,21.58885172454424,0.74,PIT,0.0,0.0,True,-30.0,-30.0,0,0,0,0,0,0
2024,15873,2022,19,1,1,4.975428160956014,0.0,117.66666666666669,1.0,SP,1992.0,1,32.0,1,Who's On First,0.0,3.5173993939494532,0.75,PIT,14.295895683576436,28.797653824365245,True,9.797653824365245,-4.704104316423564,1,1,0,0,0,0
2024,9218,2022,36,1,0,9.160227349757106,687.0,0.0,0.0,CI,1987.0,1,37.0,0,Producers,23.847217899922278,39.93608100176896,0.87,HIT,5.627172627070761,17.281737236604055,True,-18.718262763395945,-30.372827372929237,0,0,0,1,1,0
2024,14854,2022,13,1,1,4.195772801635617,381.0,0.0,0.0,OF,1990.0,1,34.0,0,Milwaukee Beers,0.0,15.68134395992916,0.83,HIT,0.0,6.730139229856911,True,-6.269860770143089,-13.0,0,1,0,1,0,0
2024,12304,2022,20,1,0,12.390582597606516,0.0,200.0,0.0,SP,1989.0,1,35.0,1,Producers,17.269577796847514,19.942513683826594,0.79,PIT,0.0,0.0,True,-20.0,-20.0,0,0,0,0,0,0
2024,3096,2022,29,1,0,8.059344695824516,0.0,44.66666666666668,29.0,UNKNOWN,1987.0,1,37.0,1,Producers,3.3937323004318998,8.227007706907452,0.53,PIT,8.667935369342935,22.235329119004763,True,-6.7646708809952365,-20.332064630657065,0,0,0,0,0,0
2024,16939,2022,1,1,1,10.018235553653836,682.0,1.0,0.0,OF,1995.0,1,29.0,0,Who's On First,14.64323273394249,32.16507034505866,0.84,HIT,7.055066008430822,18.946692120777936,True,17.946692120777936,6.055066008430822,1,1,1,1,1,1
2024,10310,2022,29,1,1,13.121686119949707,0.0,192.0,0.0,UNKNOWN,1990.0,1,34.0,1,Producers,20.252448299455885,22.460979114326765,0.79,PIT,41.779321333411346,60.84392868414329,True,31.843928684143293,12.779321333411346,1,1,0,0,0,0
2024,17479,2022,15,1,1,0.5900816285728077,0.0,144.33333333333331,0.0,UNKNOWN,1995.0,1,29.0,1,Block Bombers,0.0,1.3728195073000677,0.68,PIT,19.531854836403916,34.902896609741525,True,19.902896609741525,4.531854836403916,1,1,0,0,0,0
2024,16478,2022,30,1,1,8.732815465651807,720.0,0.0,0.0,UTIL,1993.0,1,31.0,0,Micks,23.021443097645204,39.23887162204753,0.87,HIT,19.70483213698224,33.69659584211058,True,3.6965958421105825,-10.29516786301776,1,1,0,1,1,0
2024,13419,2022,1,1,1,10.052101541902928,661.0,0.0,0.0,CI,1991.0,1,33.0,0,Who's On First,14.604800742525393,32.132621855684214,0.86,HIT,8.21344197463577,20.29738380954082,True,19.29738380954082,7.213441974635771,1,1,1,1,1,1
2024,5235,2022,20,1,0,9.12929866085557,626.0,0.0,0.0,UTIL,1984.0,1,40.0,0,All-Stars,11.196960063455899,29.25535013524454,0.86,HIT,0.0,8.953964321184095,True,-11.046035678815905,-20.0,0,0,0,1,1,0
2024,12916,2022,28,1,0,11.72466440509162,687.0,0.0,0.0,MI,1993.0,1,31.0,0,Pookie 2.0,24.157342181585026,40.19792182987174,0.87,HIT,25.875843785215743,40.89213026936168,True,12.89213026936168,-2.124156214784257,1,0,0,1,1,0
2024,12927,2022,10,1,1,8.309723934953974,682.0,0.0,0.0,UNKNOWN,1993.0,1,31.0,0,All-Stars,10.033580059891387,28.27309753026209,0.86,HIT,9.35852977971367,21.632581212064284,True,11.632581212064284,-0.6414702202863296,1,1,1,1,1,1
2024,22182,2022,13,1,1,2.0823303131778688,0.0,112.0,0.0,UNKNOWN,1999.0,1,25.0,1,Micks,0.4078090780835769,5.705964836613181,0.68,PIT,18.56001304695811,33.76970784711776,True,20.769707847117758,5.560013046958112,1,1,0,0,0,0
2024,21711,2022,8,1,1,0.6531773487254978,40.0,0.0,0.0,UNKNOWN,1998.0,1,26.0,0,Pookie 2.0,0.0,8.310181070316222,0.58,HIT,11.61497835374483,24.263649556006012,True,16.263649556006012,3.6149783537448297,1,1,0,1,0,0
2024,16137,2022,26,1,0,-1.6922901138238533,0.0,64.33333333333331,0.0,UNKNOWN,1992.0,1,32.0,1,All-Stars,2.792844529499657,7.719672548582664,0.7,PIT,6.865120482808651,20.13320756722782,True,-5.866792432772179,-19.13487951719135,0,0,0,0,0,0
2024,26378,2022,6,1,1,-0.9841376717679272,0.0,34.333333333333336,0.0,SP,1998.0,1,26.0,1,New York Polar Bears,0.0,0.0,0.53,PIT,0.0,0.0,True,-6.0,-6.0,0,1,0,0,0,0
2024,13074,2022,26,1,0,4.4561248238960065,0.0,136.33333333333331,0.0,SP,1986.0,1,38.0,1,Spehr's Army,7.433592648295243,11.637899537862012,0.77,PIT,0.0,9.264657053979555,True,-16.735342946020445,-26.0,0,0,0,0,0,0
2024,10231,2022,1,1,1,0.0,0.0,0.0,0.0,MI,1990.0,0,34.0,0,Milwaukee Beers,0.0,0.0,,,0.0,6.364937711200646,False,5.364937711200646,-1.0,1,1,0,0,0,0
