season,team,player,fg_id,match,salary,log_salary,pos,pos_group,role,rp_prior1,rp_prior2,rp_prior_best,rp_prior_mean,PA_prior1,IP_prior1,SV_prior1,PA_prior2,IP_prior2,SV_prior2,played_prior1,played_prior2,has_prior_window,no_prior_line,auction_tenure,ever_bought_before,last_salary,last_salary_season,years_since_last,birth_year,age,rp_realized,played,rp_R_prior1,rp_HR_prior1,rp_RBI_prior1,rp_SB_prior1,rp_AVG_prior1,rp_W_prior1,rp_SV_prior1,rp_K_prior1,rp_ERA_prior1,rp_WHIP_prior1
2022,Moben,Randal Grichuk,10243,exact,25,3.2188758248682006,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,7.889144059912484,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Spehr's Army,Seiya Suzuki,30116,exact,25,3.2188758248682006,U,UTIL,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1994.0,28.0,6.51639515489136,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Block Bombers,Craig Kimbrel,6655,exact,25,3.2188758248682006,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1988.0,34.0,7.676989931038569,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,All-Stars,C.J. Cron,12546,exact,23,3.1354942159291497,1B,CI,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1990.0,32.0,10.040226142255744,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Moben,Eddie Rosario,12155,exact,22,3.091042453358316,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,2.051782109210772,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Block Bombers,Marcell Ozuna,10324,exact,22,3.091042453358316,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1990.0,32.0,5.937959039428012,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Milwaukee Beers,Cody Bellinger,15998,exact,22,3.091042453358316,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1995.0,27.0,7.200583638623188,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Micks,Hunter Renfroe,15464,exact,21,3.044522437723423,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,8.238345865434034,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Pookie 2.0,Blake Snell,13543,exact,21,3.044522437723423,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,7.633612024934968,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Milwaukee Beers,Jacob deGrom,10954,exact,21,3.044522437723423,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1988.0,34.0,7.260723501222928,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
