fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind
19755,3.6581521351684287,3.0612798234276615,3.514609244891842,1.0824490431037037,0.9603166056722524,1.7365203150902755,0.0,2.087502975494572,0.07419006023763171,0.5296022978548497,16.704622500941216,687.9,601.1503986398217,240.14585467471107,42.37178628378665,123.6609438469306,118.864850253317,18.513629959783806,96.86000000000001,6.3729876774019045,0.0,109.71594302354492,38.371570216885765,35.307295373239135,Shohei Ohtani,0.5,1.0,health,0.2816703294357716,3.565394713524384,1.0956733349434877,TWO,11.893565678612354,78.08495797039369,116.72310176117122,16.704622500941216,78.08495797039369,0.0,health
22267,0.0,0.0,0.0,0.0,0.0,3.4598714520074947,0.0,4.056819065814069,2.6303333480409457,2.424076798695735,12.571100664558244,0.0,0.0,140.4408262178374,0.0,0.0,0.0,0.0,177.935,12.697644788504599,0.0,213.22016529161326,53.20766919186395,30.90926927494119,Tarik Skubal,0.5,1.0,health,,2.691258171392787,0.9629926405304104,PIT,7.760043842229384,51.294644145476774,78.80874186516505,12.571100664558244,51.294644145476774,0.0,health
33677,0.0,0.0,0.0,0.0,0.0,3.5065456825600125,0.0,4.061972840514468,2.1710735274726916,1.4657836841747383,11.20537573472191,0.0,0.0,147.15776686535335,0.0,0.0,0.0,0.0,184.08499999999998,12.868938089008225,0.0,213.49103975647535,58.79008567511645,46.32138852049319,Paul Skenes,0.5,1.0,health,,2.8742742269932267,1.0510316179256678,PIT,6.394318912393049,42.443064084430226,66.28175191364394,11.20537573472191,42.443064084430226,0.0,health
27769,2.936326264523043,2.099712451287396,2.828625129997596,1.9512860830469734,0.3824197816111417,0.0,0.0,0.0,0.0,0.0,10.198369710466151,640.1999999999999,580.5320418819085,153.9726080375227,29.06253997510714,99.26019036295034,95.66471805894327,33.37375437427095,0.0,0.0,0.0,0.0,0.0,0.0,Pete Crow-Armstrong,0.5,1.0,health,0.2652267177852755,,,HIT,5.3873128881372905,35.9164244581592,57.04507908781741,10.198369710466151,35.9164244581592,0.0,health
25764,2.783547835223548,1.6761245085632777,2.506172451639599,2.1159046022180745,1.0530147201400792,0.0,0.0,0.0,0.0,0.0,10.134764117784577,644.0,583.8034922394678,166.50353783667896,23.199574543414275,94.0956362196172,84.75929823666547,36.18930155210643,0.0,0.0,0.0,0.0,0.0,0.0,Bobby Witt Jr.,0.5,1.0,health,0.2852047650451217,,,HIT,5.3237072954557165,35.504181858166,56.46166246930544,10.134764117784577,35.504181858166,0.0,health
26668,2.976486058666374,1.8756949358864539,2.6227521960735873,2.029692114244399,0.4713754274438209,0.0,0.0,0.0,0.0,0.0,9.976000732314636,642.5,577.5580769230769,154.76582575686768,25.961868741542624,100.61776048714479,88.70205058811284,34.71476923076923,0.0,0.0,0.0,0.0,0.0,0.0,Elly De La Cruz,0.5,1.0,health,0.2679658235954,,,HIT,5.164943909985776,34.47519953050329,55.00541949460206,9.976000732314636,34.47519953050329,0.0,health
28163,2.582620213094687,2.854761096681179,3.403567581507676,0.26279905731589204,0.6776527990307009,0.0,0.0,0.0,0.0,0.0,9.781400747630135,651.1,592.4077487637306,162.15237635478152,39.51331928369914,87.30343663925986,115.10939700934071,4.4947746334330825,0.0,0.0,0.0,0.0,0.0,0.0,Junior Caminero,0.5,1.0,health,0.27371751414995854,,,HIT,4.9703439253012744,33.213951890746344,53.220468514025725,9.781400747630135,33.213951890746344,0.0,health
33825,0.0,0.0,0.0,0.0,0.0,3.712717304028631,0.0,3.28729983816191,0.8138221576202319,1.896037281329348,9.709876581140122,0.0,0.0,130.97005525443458,0.0,0.0,0.0,0.0,172.24,13.625582967637918,0.0,172.77541923485435,63.51056555693726,42.06304202104975,Yoshinobu Yamamoto,0.5,1.0,health,,3.3185966675129777,1.0046046056402946,PIT,4.898819758811261,32.75038717712437,52.56441948443183,9.709876581140122,32.75038717712437,0.0,health
31757,0.0,0.0,0.0,0.0,0.0,0.8927200651217467,3.845385249490755,2.079661055470634,1.5628052251664681,1.194847921119618,9.575419516369221,0.0,0.0,35.12725807511356,0.0,0.0,0.0,0.0,63.61999999999999,3.276261109617109,25.27788582980011,109.30378377843643,15.554113791306108,22.51818061423824,Mason Miller,0.4894237782640408,1.0,health,,2.2003619006877555,0.9060898882325025,PIT,4.7643626940403605,31.878939751956864,51.33112406564062,9.575419516369221,31.878939751956864,0.0,role
27867,0.0,0.0,0.0,0.0,0.0,2.1251414635362167,3.9445534953338632,1.7682705927437772,1.048866939030075,0.5805780501559732,9.467410540799905,0.0,0.0,51.28241940162695,0.0,0.0,0.0,0.0,69.41999999999999,7.799217919974682,25.929774635140383,92.93758039205761,21.128002547744522,21.998624171309867,Cade Smith,0.5,1.0,health,,2.7391533121535687,1.0556186051993206,PIT,4.656353718471045,31.178908527749808,50.340421383078436,9.467410540799905,31.178908527749808,0.0,role
