fg_id,name,PA,AB,H,HR,R,RBI,SB,AVG,role,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,roto_points,z_R,z_HR,z_RBI,z_SB,z_AVG,z_total,IP,W,SV,K,ER,BB,ERA,WHIP,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,z_W,z_SV,z_K,z_ERA,z_WHIP
4949,Giancarlo Stanton,131.0,119.0,29.0,5.0,12.0,20.0,1.0,0.24369747899159663,HIT,0.3549853677031492,0.36124035495277723,0.5913622466863394,0.05846768275346603,-0.07191257148420074,1.294143080611531,-2.88561655214528,-1.6335804476515927,-2.363167983284333,-0.9821390135766376,-0.26607039516803255,-2.4698860725398797,,,,,,,,,,,,,,,,,,
5361,Freddie Freeman,676.0,610.0,184.0,21.0,80.0,79.0,7.0,0.3016393442622951,HIT,2.3665691180209945,1.5172094908016645,2.3358808744110404,0.40927377927426223,1.6692684933312323,8.298201755839195,0.4144701513840764,0.08471405343068672,0.4540675429729301,-0.42108266401127276,2.226801348665662,0.9080782755613828,,,,,,,,,,,,,,,,,,
5417,Jose Altuve,563.0,511.0,125.0,18.0,74.0,51.0,4.0,0.2446183953033268,HIT,2.18907643416942,1.300465277829998,1.5079737290501656,0.23387073101386413,-0.2696149051727898,4.961771266890658,0.1232860304844275,-0.23746616552224067,-0.8829255881322113,-0.7016108387939551,-0.5491234166494637,-0.7010377761712768,,,,,,,,,,,,,,,,,,
7304,Salvador Perez,616.0,563.0,124.0,22.0,54.0,70.0,0.0,0.2202486678507993,HIT,1.5974341546641713,1.5894575617922198,2.069767863402188,0.0,-1.083810059705051,4.1728495201535285,-0.8473277058477363,0.19210745974832896,0.02431975083199231,-1.075648405170865,-1.7148172871573715,-1.0815242423034546,,,,,,,,,,,,,,,,,,
9218,Paul Goldschmidt,386.0,350.0,87.0,18.0,44.0,52.0,1.0,0.24857142857142858,HIT,1.301613014911547,1.300465277829998,1.5375418413844824,0.05846768275346603,-0.10646937190495737,4.091618444974536,-1.3326345740138181,-0.23746616552224067,-0.8351758334498851,-0.9821390135766376,-0.31554581910123275,-1.1207009095240001,,,,,,,,,,,,,,,,,,
9777,Nolan Arenado,598.0,543.0,133.0,23.0,72.0,79.0,5.0,0.24493554327808473,HIT,2.1299122062188953,1.6617056327827753,2.3358808744110404,0.29233841376733016,-0.27545689393621603,6.144380233243826,0.02622465685121145,0.29950086606597154,0.4540675429729301,-0.6081014471997277,-0.5574874685050834,-0.1306811998885919,,,,,,,,,,,,,,,,,,
10155,Mike Trout,603.0,536.0,125.0,27.0,90.0,60.0,11.0,0.2332089552238806,HIT,2.6623902577736187,1.9506979167449972,1.7740867400590181,0.6431445102881264,-0.6346959691561018,6.395623455709659,0.8997770195501581,0.7290744913365415,-0.45317779599127317,-0.04704509763436294,-1.071814759326804,-0.00950993511987239,,,,,,,,,,,,,,,,,,
11477,Christian Yelich,496.0,447.0,105.0,12.0,67.0,57.0,14.0,0.2348993288590604,HIT,1.982001636342583,0.8669768518866654,1.6853824030560673,0.8185475585485245,-0.49121032210335075,4.861698127730489,-0.21642877723182977,-0.8818266034280955,-0.5964270600382524,0.23348307714831945,-0.8663844784608601,-0.7493017202586153,,,,,,,,,,,,,,,,,,
11493,Manny Machado,667.0,604.0,134.0,30.0,82.0,93.0,4.0,0.22185430463576158,HIT,2.4257333459715196,2.1674421297166635,2.7498344470914784,0.23387073101386413,-1.101232384943799,6.475648268849726,0.5115315250172932,1.051254710289469,1.1225641085255018,-0.7016108387939551,-1.7397610584728258,0.029084967962064688,,,,,,,,,,,,,,,,,,
11579,Bryce Harper,681.0,610.0,155.0,32.0,95.0,94.0,10.0,0.2540983606557377,HIT,2.810300827649931,2.3119382716977745,2.779402559425795,0.5846768275346603,0.012414876418017098,8.498733362726178,1.1424304536331993,1.266041522924754,1.170313863207828,-0.1405544892285904,-0.14533768312964954,1.0047920025790493,,,,,,,,,,,,,,,,,,
11609,Willson Contreras,620.0,554.0,153.0,30.0,79.0,95.0,4.0,0.27617328519855594,HIT,2.3369870040457323,2.1674421297166635,2.808970671760112,0.23387073101386413,0.7152405790291683,8.262511115565541,0.36593946456746873,1.051254710289469,1.218063617890154,-0.7016108387939551,0.8609070838757403,0.8908651544275297,,,,,,,,,,,,,,,,,,
12161,Xander Bogaerts,613.0,554.0,126.0,12.0,63.0,56.0,21.0,0.22743682310469315,HIT,1.8636731804415332,0.8669768518866654,1.6558142907217503,1.2278213378227867,-0.8385420635465145,4.775743597326221,-0.4105515244982626,-0.8818266034280955,-0.644176814720579,0.8880488183079117,-1.3636638835019406,-0.7907564471143932,,,,,,,,,,,,,,,,,,
12552,Eugenio Suárez,496.0,449.0,96.0,26.0,48.0,68.0,1.0,0.21380846325167038,HIT,1.4199414708125968,1.8784498457544416,2.010631638733554,0.05846768275346603,-1.0457647008083502,4.321725937245709,-1.1385118267473853,0.621681085018899,-0.07117975853266079,-0.9821390135766376,-1.660347248346301,-1.0097231263320647,,,,,,,,,,,,,,,,,,
12564,Trevor Story,269.0,246.0,55.0,6.0,27.0,31.0,7.0,0.22357723577235772,HIT,0.7987170773320856,0.4334884259433327,0.9166114823638261,0.40927377927426223,-0.4440713574274297,2.1140194074860768,-2.1576562498961573,-1.5261870413339502,-1.8379206817787415,-0.42108266401127276,-0.7988950051092564,-2.0744706240899977,,,,,,,,,,,,,,,,,,
12856,George Springer,540.0,487.0,117.0,17.0,64.0,54.0,12.0,0.2402464065708419,HIT,1.8932552944167957,1.2282172068394426,1.5966780660531164,0.7016121930415924,-0.3813044324801209,5.038458327870826,-0.3620208376816542,-0.34485957183988325,-0.7396763240852321,0.046464293959864525,-0.7090307762761325,-0.6640526265653941,,,,,,,,,,,,,,,,,,
12916,Francisco Lindor,451.0,406.0,101.0,18.0,61.0,52.0,8.0,0.24876847290640394,HIT,1.8045089524910083,1.300465277829998,1.5375418413844824,0.46774146202772826,-0.11808503415344382,4.992172499579773,-0.507612898131479,-0.23746616552224067,-0.8351758334498851,-0.3275732724170453,-0.33217611493335353,-0.6863756659686057,,,,,,,,,,,,,,,,,,
13066,Teoscar Hernández,488.0,444.0,112.0,18.0,68.0,66.0,3.0,0.25225225225225223,HIT,2.0115837503178455,1.300465277829998,1.95149541406492,0.1754030482603981,-0.03830011329680892,5.400647377176353,-0.16789809041522138,-0.23746616552224067,-0.16667926789731388,-0.7951202303881826,-0.2179469983833205,-0.4893736650435603,,,,,,,,,,,,,,,,,,
13510,José Ramírez,549.0,494.0,120.0,16.0,76.0,59.0,38.0,0.242914979757085,HIT,2.2482406621199447,1.1559691358488873,1.7445186277247013,2.2217719446317092,-0.30999034171274853,7.060510028612494,0.22034740411764356,-0.45225297815752546,-0.5009275506735993,2.4777084754097785,-0.6069294581515764,0.3111560162863678,,,,,,,,,,,,,,,,,,
13611,Mookie Betts,519.0,468.0,114.0,20.0,70.0,60.0,3.0,0.24358974358974358,HIT,2.07074797826837,1.444961419811109,1.7740867400590181,0.1754030482603981,-0.2762365977720001,5.188962588626895,-0.07083671678200533,-0.022679352886955856,-0.45317779599127317,-0.7951202303881826,-0.5586037807026266,-0.59146642324453,,,,,,,,,,,,,,,,,,
