season,team,player,salary,pos,fg_id,match,match_conf,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,name,role,played
2022,Moben,Randal Grichuk,25,OF,10243,exact,1.0,2.2059485815907176,1.8549259394537636,2.6974314923784384,0.4323778251499121,0.4059642984993561,0.0,0.0,0.0,0.08021629622772176,0.10387462582271892,7.780739059122628,Randal Grichuk,HIT,True
2022,Moben,Christian Yelich,27,OF,11477,exact,1.0,3.639815159624684,1.366787534334352,2.106213631035219,2.0537946694620826,0.19526336364326657,0.0,0.0,0.0,0.0,0.0,9.361874358099605,Christian Yelich,HIT,True
2022,Moben,Eddie Rosario,22,OF,12155,exact,1.0,0.9926768617158229,0.4881384051194115,0.8868267920148292,0.3242833688624341,-0.6498366820523629,0.0,0.0,0.0,0.0,0.0,2.042088745660135,Eddie Rosario,HIT,True
2022,Moben,Charlie Blackmon,16,OF,7859,exact,1.0,2.2059485815907176,1.5620428963821167,2.8821870740481947,0.4323778251499121,0.6376326505253276,0.0,0.0,0.0,0.0,0.0,7.720189027696268,Charlie Blackmon,HIT,True
2022,Moben,Willy Adames,26,U,15986,exact,1.0,3.051562204533826,3.026458111740351,3.621209400727219,0.8647556502998242,-0.3344282220784099,0.0,0.0,0.0,0.0,0.0,10.22955714522281,Willy Adames,HIT,True
2022,Moben,Nelson Cruz,16,U,2434,exact,1.0,1.8382904846589314,0.976276810238823,2.3648714453728776,0.4323778251499121,-0.42883801864511545,0.0,0.0,0.0,0.0,0.0,5.182978546775428,Nelson Cruz,HIT,True
2022,Moben,Tylor Megill,10,P,21318,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.3652292672414548,0.0,1.1599708330104497,-1.2736655890574975,-0.14407039484977496,1.107464116344632,Tylor Megill,PIT,True
2022,Moben,Luke Voit,19,1B,14811,exact,1.0,2.0221195331248243,2.1478089825254107,2.5496270270426336,0.10809445628747802,-0.7654886681094956,0.0,0.0,0.0,0.0,0.0,6.062161330870851,Luke Voit,HIT,True
2022,Moben,Darin Ruf,12,OF,9929,exact,1.0,1.9118221040452885,1.0739044912627054,1.6628002350278046,0.21618891257495604,-1.104626386761463,0.0,0.0,0.0,0.1602793824962041,0.12215936214695577,4.042528100792452,Darin Ruf,HIT,True
2022,Moben,Jesus Luzardo,6,P,19959,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.3652292672414548,0.0,2.7293431364951757,0.9407147302642582,1.3780997307092142,6.4133868647101036,Jesús Luzardo,PIT,True
