season,team,player,salary,pos,fg_id,match,match_conf,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,name,role,played,value,surplus
2022,Moben,Randal Grichuk,25,OF,10243,exact,1.0,2.2345857824316098,1.8853049050264168,2.7244002480735268,0.43911365290066096,0.42164854942982916,0.0,0.0,0.0,0.08021629622772176,0.10387462582271895,7.889144059912484,Randal Grichuk,HIT,True,20.334495129003688,-4.665504870996312
2022,Moben,Christian Yelich,27,OF,11477,exact,1.0,3.687066541012156,1.389172035282623,2.127271426577959,2.0857898512781397,0.2028072772441175,0.0,0.0,0.0,0.0,0.0,9.492107131394995,Christian Yelich,HIT,True,30.294823952391575,3.2948239523915746
2022,Moben,Eddie Rosario,22,OF,12155,exact,1.0,1.0055636020942245,0.4961328697437939,0.8956932322433512,0.3293352396754957,-0.6749428345460937,0.0,0.0,0.0,0.0,0.0,2.0517821092107718,Eddie Rosario,HIT,True,0.0,-22.0
2022,Moben,Charlie Blackmon,16,OF,7859,exact,1.0,2.2345857824316098,1.5876251831801405,2.9110030047908912,0.43911365290066096,0.6622673056643871,0.0,0.0,0.0,0.0,0.0,7.834594928967689,Charlie Blackmon,HIT,True,19.995543289808975,3.9955432898089747
2022,Moben,Willy Adames,26,U,15986,exact,1.0,3.091176999030394,3.076023792411522,3.657414031660351,0.8782273058013219,-0.34734870836919657,0.0,0.0,0.0,0.0,0.0,10.35549342053439,Willy Adames,HIT,True,35.659645821606325,9.659645821606325
2022,Moben,Nelson Cruz,16,U,2434,exact,1.0,1.8621548186930081,0.9922657394875878,2.38851528598227,0.43911365290066096,-0.4454059856260039,0.0,0.0,0.0,0.0,0.0,5.236643511437523,Nelson Cruz,HIT,True,3.8526571272131607,-12.14734287278684
2022,Moben,Tylor Megill,10,P,21318,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.3169305744343454,0.0,1.1401081238034252,-1.2736655890574975,-0.14407039484977502,1.039302714330498,Tylor Megill,PIT,True,0.0,-10.0
2022,Moben,Luke Voit,19,1B,14811,exact,1.0,2.048370300562309,2.182984626872693,2.5751180426996347,0.10977841322516524,-0.7950629838792406,0.0,0.0,0.0,0.0,0.0,6.121188399480562,Luke Voit,HIT,True,9.348952145293124,-9.651047854706876
2022,Moben,Darin Ruf,12,OF,9929,exact,1.0,1.9366410114407286,1.0914923134363466,1.6794248104562834,0.21955682645033048,-1.1473031381369687,0.0,0.0,0.0,0.1602793824962041,0.12215936214695582,4.06225056828988,Darin Ruf,HIT,True,0.0,-12.0
2022,Moben,Jesus Luzardo,6,P,19959,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.3169305744343454,0.0,2.682607350125706,0.9407147302642582,1.3780997307092147,6.318352385533524,Jesús Luzardo,PIT,True,10.574069659323637,4.574069659323637
2022,Moben,Collin McHugh,5,P,7531,exact,1.0,0.0,0.0,0.0,0.0,0.0,0.9876979308257591,0.0,1.6766295938285665,1.6517357435697344,1.5228519038218666,5.838915172045926,Collin McHugh,PIT,True,7.5949914874922815,2.5949914874922815
2022,Moben,Mitch Keller,4,P,17594,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.6461632180429318,0.0,3.0849984526445624,-0.26005717170365344,-2.1363164795474807,2.3347880194363597,Mitch Keller,PIT,True,0.0,-4.0
2022,Moben,Brian Anderson,1,3B,18289,exact,1.0,1.6014531440759872,0.7938125915900702,1.044975437617243,0.10977841322516524,-0.6997634233332841,0.0,0.0,0.0,0.0,0.0,2.850256163175181,Brian Anderson,HIT,True,0.0,-1.0
2022,Moben,Edwin Rios,1,CI,18316,exact,1.0,0.44691715648632196,0.6945860176413114,0.6344493728390405,0.0,0.0169587477959945,0.0,0.0,0.0,0.0,0.0,1.7929112947626684,Edwin Rios,HIT,True,0.0,-1.0
